# Energy (eV) Probability
2.40853848066642	0.0319323
2.43287899184069	0.0420052
2.46020863553472	0.0568564
2.48814928092927	0.0745835
2.51671653546504	0.0947201
2.54592124852405	0.119476
2.57576890794711	0.152171
2.60628636776429	0.191156
2.6360551449639	0.236287
2.66738382099828	0.300372
2.69586205396943	0.375587
2.71988557087322	0.439988
2.7475462005722	0.493952
2.7725845551073	0.545619
2.80129513015697	0.604156
2.80744182676195	0.665443
2.82230710744253	0.711842
2.82970851582952	0.797527
2.84556204325952	0.893261
2.86998048561422	0.975922
2.90615360093012	0.980867
2.92269176186592	0.93517
2.9354105502415	0.886354
2.96804527477999	0.7941
2.98118425007514	0.729823
2.99278477682052	0.668115
3.00980042289662	0.59172
3.02211128526264	0.523743
3.03039931951672	0.47299
3.04460575818001	0.409706
3.06003322152538	0.349325
3.07916213410424	0.286323
3.1009962306813	0.220391
3.13233469847678	0.16508
3.17518042544037	0.115974
3.23975718806427	0.0758401
3.29551737336792	0.0519097
3.3345077714633	0.0400732
3.38631217548297	0.029508


